time,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
332,-0.0417047159316951,-5.83430263626505e-05,-6.26505601462046e-05,-6.3353641589492e-05,-6.25526237831298e-05,-7.19884077916011e-05,-7.5603313241468e-05,-7.40999487103405e-05,-7.40997303210339e-05,-7.49031320935872e-05
333,-0.0417039242625043,-5.86783391218204e-05,-6.27273108949611e-05,-6.33226546538079e-05,-6.32473633641051e-05,-7.2260343418562e-05,-7.55088869442699e-05,-7.41126987467422e-05,-7.41690998052116e-05,-7.40775122192311e-05
334,-0.0417031357937558,-5.90127566028609e-05,-6.28038175228274e-05,-6.3291873181659e-05,-6.39396546137649e-05,-7.25313099297908e-05,-7.54145839993725e-05,-7.41255984563899e-05,-7.42386346631596e-05,-7.32467225379313e-05
335,-0.0417023496788884,-5.93462856664506e-05,-6.28800851484312e-05,-6.32613010365102e-05,-6.46295075528158e-05,-7.28013122323623e-05,-7.53205673238722e-05,-7.41384885590834e-05,-7.43079313710107e-05,-7.24196474822109e-05
336,-0.0417015659130732,-5.96789280179477e-05,-6.29561142694302e-05,-6.32309376674689e-05,-6.53169275805499e-05,-7.3070352472393e-05,-7.52268363239383e-05,-7.41513690465934e-05,-7.43769904480163e-05,-7.15962781024371e-05
337,-0.0417007844914816,-6.00106853656523e-05,-6.30319053860906e-05,-6.32007825149827e-05,-6.6001920098202e-05,-7.33384327972764e-05,-7.51333904037144e-05,-7.41642399065406e-05,-7.44458124166403e-05,-7.07766054558884e-05
338,-0.0417000054092947,-6.0341559407151e-05,-6.31074589965697e-05,-6.31708350308235e-05,-6.66844904967934e-05,-7.3605555348577e-05,-7.50402289727281e-05,-7.4177101127601e-05,-7.45143977979312e-05,-6.99606206068376e-05
339,-0.0416992286616901,-6.06715518430279e-05,-6.31827756100711e-05,-6.31410946536626e-05,-6.7364644170731e-05,-7.38717222643626e-05,-7.49473514416454e-05,-7.4189952697104e-05,-7.45827471118343e-05,-6.91483146282174e-05
340,-0.0416984542438514,-6.10006643773087e-05,-6.32578557215879e-05,-6.31115608306088e-05,-6.80423865052626e-05,-7.41369356868637e-05,-7.48547572174685e-05,-7.42027946039892e-05,-7.4650860877809e-05,-6.83396785993995e-05
341,-0.0416976821509662,-6.13288987068583e-05,-6.33326998313866e-05,-6.30822330107694e-05,-6.87177228819724e-05,-7.44011977547587e-05,-7.47624457071994e-05,-7.42156268382088e-05,-7.47187396168067e-05,-6.75347036065838e-05
342,-0.0416969123782227,-6.16562565330936e-05,-6.34073084391784e-05,-6.30531106393661e-05,-6.93906586821669e-05,-7.46645105984545e-05,-7.46704163258061e-05,-7.42284493865791e-05,-7.47863838464341e-05,-6.67333807455456e-05
343,-0.0416961449208146,-6.198273955349e-05,-6.34816820418993e-05,-6.30241931665054e-05,-7.00611992769384e-05,-7.49268763561295e-05,-7.45786684807903e-05,-7.42412622387195e-05,-7.48537940860328e-05,-6.59357011174172e-05
344,-0.0416953797739401,-6.23083494609711e-05,-6.35558211423137e-05,-6.29954800364096e-05,-7.07293500399331e-05,-7.51882971611328e-05,-7.44872015794873e-05,-7.42540653840273e-05,-7.49209708547985e-05,-6.51416558321155e-05
345,-0.0416946169328,-6.26330879479053e-05,-6.36297262400221e-05,-6.29669707010727e-05,-7.13951163342497e-05,-7.54487751427058e-05,-7.43960150359491e-05,-7.42668588114836e-05,-7.49879146689225e-05,-6.43512360068987e-05
346,-0.0416938563925962,-6.29569567137112e-05,-6.37033978293511e-05,-6.29386646074925e-05,-7.20585035230981e-05,-7.57083124321434e-05,-7.43051082602586e-05,-7.42796425083903e-05,-7.50546260476423e-05,-6.35644327666302e-05
347,-0.0416933239326169,-6.3089042143194e-05,-6.36984701739562e-05,-6.34425543637462e-05,-7.24162600512779e-05,-7.57019618317645e-05,-7.42924926836475e-05,-7.43334141193736e-05,-7.4474106962541e-05,-6.31478561196192e-05
348,-0.0416928636782981,-6.31633151217947e-05,-6.36694996238862e-05,-6.41118827652276e-05,-7.26781964052181e-05,-7.56105429051135e-05,-7.43052563194069e-05,-7.44007302135724e-05,-7.36763490049724e-05,-6.28563976905888e-05
349,-0.0416924047904487,-6.32373556992971e-05,-6.36407318714838e-05,-6.477884049505e-05,-7.29391954684688e-05,-7.55194029741224e-05,-7.43180103904284e-05,-7.44678148165562e-05,-7.28821949364175e-05,-6.25660922156657e-05
350,-0.0416919472662675,-6.33111643598694e-05,-6.36121663810107e-05,-6.54434328308806e-05,-7.31992593457909e-05,-7.54285414508726e-05,-7.43307548906891e-05,-7.45346684371262e-05,-7.20916360032256e-05,-6.2276937012759e-05
351,-0.0416914911029501,-6.33847416018907e-05,-6.35838025944135e-05,-6.61056650647085e-05,-7.34583901298991e-05,-7.53379577599356e-05,-7.43434898027306e-05,-7.46012915867761e-05,-7.13046634599757e-05,-6.1988929403109e-05
352,-0.0416910362976986,-6.34580879074198e-05,-6.35556399779524e-05,-6.67655424717584e-05,-7.37165899136749e-05,-7.52476513211642e-05,-7.43562151175603e-05,-7.46676847726141e-05,-7.05212685681855e-05,-6.17020667089269e-05
353,-0.0416905828477133,-6.35312037682301e-05,-6.35276779877847e-05,-6.74230703204826e-05,-7.39738608017126e-05,-7.51576215476946e-05,-7.43689308254358e-05,-7.47338485024285e-05,-6.97414425975471e-05,-6.14163462547418e-05
354,-0.0416901307501999,-6.36040896725421e-05,-6.3499916077403e-05,-6.8078253886994e-05,-7.42302048766796e-05,-7.50678678681505e-05,-7.43816369118966e-05,-7.4799783286561e-05,-6.89651768219987e-05,-6.11317653680249e-05
355,-0.0416896800023657,-6.36767461055232e-05,-6.34723537068504e-05,-6.87310984356371e-05,-7.44856242342884e-05,-7.4978389698388e-05,-7.43943333662844e-05,-7.48654896317869e-05,-6.8192462526713e-05,-6.08483213769134e-05
356,-0.0416892306014153,-6.37491735578366e-05,-6.34449903348933e-05,-6.93816092293131e-05,-7.47401209617027e-05,-7.48891864609247e-05,-7.44070201793567e-05,-7.49309680449922e-05,-6.74232910001377e-05,-6.05660116141798e-05
357,-0.0416887825445578,-6.38213725198677e-05,-6.34178254200202e-05,-7.00297915237069e-05,-7.49936971458087e-05,-7.4800257580554e-05,-7.44196973353484e-05,-7.49962190344927e-05,-6.66576535417532e-05,-6.02848334116113e-05
358,-0.041688335829009,-6.3893343471233e-05,-6.33908584207199e-05,-7.06756505755024e-05,-7.52463548774895e-05,-7.4711602473132e-05,-7.44323648268486e-05,-7.50612431063419e-05,-6.58955414561541e-05,-6.00047841052137e-05
359,-0.0416878904519779,-6.39650869045383e-05,-6.33640888001441e-05,-7.13191916312805e-05,-7.54980962374141e-05,-7.46232205652286e-05,-7.44450226415894e-05,-7.51260407656357e-05,-6.51369460568929e-05,-5.97258610326029e-05
360,-0.0416874464106827,-6.40366033024531e-05,-6.33375160155603e-05,-7.19604199416191e-05,-7.57489233079167e-05,-7.45351112798609e-05,-7.44576707665257e-05,-7.51906125206342e-05,-6.43818586631498e-05,-5.9448061533629e-05
361,-0.0416869885618011,-6.40843153136839e-05,-6.34711356215512e-05,-7.25078230370269e-05,-7.59201020247291e-05,-7.44705088323583e-05,-7.44822121920841e-05,-7.50705129987511e-05,-6.3735223933048e-05,-5.95477059930488e-05
362,-0.0416864761656122,-6.40577022730238e-05,-6.41189323288827e-05,-7.27614295913392e-05,-7.58317676023412e-05,-7.44834479360357e-05,-7.4547697572841e-05,-7.43047925314544e-05,-6.34551233772637e-05,-6.10142977158917e-05
363,-0.0416859652164478,-6.40312884556682e-05,-6.47643660238173e-05,-7.30141016361818e-05,-7.57437107827275e-05,-7.44963762873141e-05,-7.46129514645477e-05,-7.35426523552907e-05,-6.3176167926865e-05,-6.24763548659202e-05
364,-0.0416854557112796,-6.40050732867437e-05,-6.54074423223627e-05,-7.32658413984399e-05,-7.56559309516569e-05,-7.45092938738146e-05,-7.4677974410825e-05,-7.27840832078358e-05,-6.28983547415821e-05,-6.39338874257322e-05
365,-0.0416849476470827,-6.39790561950404e-05,-6.6048166827315e-05,-7.35166511086627e-05,-7.55684274904023e-05,-7.45222006864887e-05,-7.47427669554879e-05,-7.20290758330355e-05,-6.26216809869184e-05,-6.53869053687806e-05
